# Targets for the prepared-observer comparison, written once from std::mt19937 seed 20260924.
# Per observer, 15000 targets uniform over the 50 km disc and inside the 1-arcsecond tile N36W112,
# in turn: 0-10 m above ground, 10-500 m above ground, 0-15000 m above mean sea level.
# Observers, 2 m above ground: 0 = 36.5,-111.5; 1 = 36.86361,-111.30861; 2 = 36.55861,-111.81361.
# observer,target_lat,target_lon,height_m,datum (agl or msl)
0,36.386796,-111.287484,7.57,agl
0,36.537292,-111.081465,381.85,agl
0,36.367178,-111.359815,14564.22,msl
0,36.746885,-111.592065,3.21,agl
0,36.939878,-111.453929,365.09,agl
0,36.363624,-111.490134,7184.06,msl
0,36.150865,-111.535011,9.73,agl
0,36.518820,-111.475890,316.96,agl
0,36.674220,-111.473345,12781.14,msl
0,36.710600,-111.009017,0.75,agl
0,36.586503,-111.560090,428.17,agl
0,36.596178,-111.789445,8136.46,msl
0,36.146166,-111.155846,9.58,agl
0,36.128243,-111.462773,378.55,agl
0,36.111533,-111.343906,9990.09,msl
0,36.502365,-111.380972,6.85,agl
0,36.619101,-111.468076,134.61,agl
0,36.598068,-111.838143,4067.45,msl
0,36.658820,-111.694631,1.91,agl
0,36.761666,-111.815181,91.86,agl
0,36.837467,-111.815272,7378.65,msl
0,36.928623,-111.406823,4.74,agl
0,36.801228,-111.113713,417.69,agl
0,36.603637,-111.073323,2658.11,msl
0,36.273919,-111.508318,1.22,agl
0,36.119320,-111.701993,163.40,agl
0,36.872037,-111.363909,5227.95,msl
0,36.673396,-111.217498,7.15,agl
0,36.793458,-111.801680,444.27,agl
0,36.872965,-111.695947,10282.52,msl
0,36.778161,-111.355822,9.21,agl
0,36.219393,-111.546655,256.29,agl
0,36.571790,-111.351449,8968.08,msl
0,36.723484,-111.707552,3.91,agl
0,36.398458,-111.750423,303.61,agl
0,36.440793,-111.021924,8378.73,msl
0,36.479175,-111.755346,4.05,agl
0,36.768545,-111.068250,183.05,agl
0,36.238476,-111.394815,11355.85,msl
0,36.166594,-111.359927,3.56,agl
0,36.100515,-111.254651,239.42,agl
0,36.847311,-111.390666,2586.26,msl
0,36.509488,-111.659208,9.03,agl
0,36.148410,-111.559942,211.90,agl
0,36.714140,-111.474048,4756.19,msl
0,36.445318,-111.359074,5.39,agl
0,36.448810,-111.335755,205.36,agl
0,36.404655,-111.220398,3538.78,msl
0,36.698744,-111.070534,3.78,agl
0,36.197788,-111.348298,140.29,agl
0,36.373576,-111.744206,14499.54,msl
0,36.817050,-111.166910,2.43,agl
0,36.674373,-111.172281,240.23,agl
0,36.360252,-111.851084,9180.58,msl
0,36.620086,-111.534099,7.31,agl
0,36.373542,-111.755279,151.43,agl
0,36.904172,-111.312606,6258.62,msl
0,36.343892,-111.738689,0.40,agl
0,36.498620,-111.118334,149.88,agl
0,36.941153,-111.393835,7056.45,msl
0,36.531960,-111.502419,8.70,agl
0,36.717202,-111.718533,91.92,agl
0,36.333609,-111.881473,13826.70,msl
0,36.320981,-111.158910,0.80,agl
0,36.627049,-111.989357,84.76,agl
0,36.434441,-111.714410,14803.43,msl
0,36.179424,-111.460898,1.01,agl
0,36.536856,-111.409974,239.10,agl
0,36.200705,-111.330331,14087.46,msl
0,36.835711,-111.642835,1.86,agl
0,36.889158,-111.441110,395.96,agl
0,36.604891,-111.801386,3468.48,msl
0,36.690809,-111.399415,5.19,agl
0,36.497776,-111.172337,495.30,agl
0,36.753801,-111.481540,2067.84,msl
0,36.255315,-111.799542,7.45,agl
0,36.699368,-111.717165,196.74,agl
0,36.476146,-111.567699,10635.66,msl
0,36.142387,-111.398906,7.47,agl
0,36.470830,-111.306044,444.02,agl
0,36.479674,-111.237508,2783.41,msl
0,36.647131,-111.372138,9.94,agl
0,36.475435,-111.100036,346.98,agl
0,36.529646,-111.644860,2208.08,msl
0,36.360092,-111.311782,0.77,agl
0,36.888923,-111.639258,299.54,agl
0,36.462288,-111.856600,5027.29,msl
0,36.425035,-111.861417,9.36,agl
0,36.709161,-111.811177,168.35,agl
0,36.478817,-111.343777,10777.15,msl
0,36.111604,-111.410306,6.82,agl
0,36.399486,-111.548307,73.10,agl
0,36.507974,-111.694306,8624.47,msl
0,36.361026,-111.405163,0.79,agl
0,36.419669,-111.852419,124.57,agl
0,36.564175,-111.242354,9344.52,msl
